taxonKey;scientificName;acceptedTaxonKey;acceptedScientificName;numberOfOccurrences;taxonRank;taxonomicStatus;kingdom;kingdomKey;phylum;phylumKey;class;classKey;order;orderKey;family;familyKey;genus;genusKey;species;speciesKey;iucnRedListCategory
2480456;Haliaeetus sanfordi Mayr, 1935;2480456;Haliaeetus sanfordi Mayr, 1935;235;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Accipitriformes;7191147;Accipitridae;2877;Haliaeetus;2480444;Haliaeetus sanfordi;2480456;VU
2482254;Ortalis guttata (Spix, 1825);2482254;Ortalis guttata (Spix, 1825);56209;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Galliformes;723;Cracidae;5237;Ortalis;2482229;Ortalis guttata;2482254;LC
2482455;Dendrocitta leucogastra Gould, 1833;2482455;Dendrocitta leucogastra Gould, 1833;16491;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Corvidae;5235;Dendrocitta;2482450;Dendrocitta leucogastra;2482455;LC
2482673;Satrapa icterophrys (Vieillot, 1818);2482673;Satrapa icterophrys (Vieillot, 1818);23792;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Tyrannidae;5291;Satrapa;2482672;Satrapa icterophrys;2482673;LC
2485139;Leptasthenura striolata (Pelzeln, 1856);2485139;Leptasthenura striolata (Pelzeln, 1856);870;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Furnariidae;5243;Leptasthenura;2485138;Leptasthenura striolata;2485139;LC
2485279;Premnoplex brunnescens (P.L.Sclater, 1856);2485279;Premnoplex brunnescens (P.L.Sclater, 1856);28855;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Furnariidae;5243;Premnoplex;2485275;Premnoplex brunnescens;2485279;LC
2487456;Vireo solitarius (A.Wilson, 1810);2487456;Vireo solitarius (A.Wilson, 1810);1245822;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Vireonidae;9358;Vireo;2487406;Vireo solitarius;2487456;LC
2487791;Poecile davidi Berezowski & Bianchi, 1891;2487791;Poecile davidi Berezowski & Bianchi, 1891;258;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Paridae;9327;Poecile;2487782;Poecile davidi;2487791;LC
2490079;Cymbilaimus lineatus (Leach, 1814);2490079;Cymbilaimus lineatus (Leach, 1814);33577;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thamnophilidae;5286;Cymbilaimus;2490077;Cymbilaimus lineatus;2490079;LC
2491440;Atlapetes melanopsis Valqui & Fjeldså, 2002;2491440;Atlapetes melanopsis Valqui & Fjeldså, 2002;191;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Passerellidae;9410667;Atlapetes;2491388;Atlapetes melanopsis;2491440;NT
